ID,weekend_nights,week_nights,room_type,board_type,n_adults,n_less_12,n_more_12,booked_tour,n_requests,lead_time,purchase_type,n_p_cacellation,n_p_not_cacellation,repeated,price,date,is_canceled
INN09588,1,5,Room_Type 1,half board,2,0,0,0,2,34,Online,0,0,0,108.4,11/28/2018,0
INN07691,0,3,Room_Type 1,,2,0,0,0,0,365,,0,0,0,,11/03/2018,1
INN32192,0,2,Room_Type 4,half board,1,0,0,0,1,148,Online,0,0,0,137.3,05/06/2018,0
INN32218,1,2,Room_Type 1,,2,0,0,0,0,502,Offline,0,0,0,127,9/26/2018,1
INN02994,1,3,Room_Type 4,half board,2,0,1,0,2,32,Offline,0,0,0,110,10/19/2017,0
INN19311,0,2,Room_Type 1,half board,2,0,0,0,2,414,Online,0,0,0,98.3,12/20/2018,1
INN13835,2,4,Room_Type 4,half board,3,0,0,0,2,168,Online,0,0,0,123.42,5/28/2018,0
INN15297,2,3,Room_Type 1,,2,0,0,0,1,92,,0,0,0,78.9,3/27/2018,0
INN17084,0,2,Room_Type 1,full board,2,0,0,0,1,9,Online,0,0,0,136.8,10/21/2018,0
INN11644,0,3,Room_Type 1,breakfast,2,0,0,0,1,180,Offline,0,0,0,110,6/16/2018,0
INN02487,0,2,Room_Type 1,breakfast,2,0,0,0,0,309,Online,0,0,0,121.5,07/01/2017,1
INN12838,0,3,Room_Type 4,half board,3,0,0,0,2,6,Online,0,0,0,203.67,3/24/2018,0
INN09206,1,3,Room_Type 1,full board,2,0,0,0,2,23,Online,0,0,0,94.8,11/24/2018,0
INN15451,2,5,Room_Type 6,breakfast,2,1,1,0,0,39,Online,0,0,0,248.6,4/16/2018,1
INN10191,1,3,Room_Type 6,half board,2,0,2,0,0,102,Online,0,0,0,240.73,9/22/2018,1
INN21259,2,2,Room_Type 6,,2,1,0,0,0,27,Offline,0,0,0,154.78,12/26/2017,0
INN31758,1,1,Room_Type 1,half board,1,0,0,0,1,111,Online,0,0,0,101.9,04/04/2018,1
INN17745,2,1,Room_Type 1,half board,2,0,0,0,0,50,Corporate,0,0,0,105.67,3/13/2018,0
INN11028,1,3,Room_Type 1,full board,2,0,0,0,1,129,Online,0,0,0,138.8,09/05/2018,1
INN23090,2,3,Room_Type 1,,2,0,0,0,0,75,Offline,0,0,0,88,12/25/2018,0
INN11970,0,3,Room_Type 6,half board,2,0,1,0,0,232,Online,0,0,0,180.2,12/29/2018,0
INN17926,0,4,Room_Type 1,half board,2,0,0,0,0,335,Online,0,0,0,93.95,12/21/2018,1
INN26038,1,2,Room_Type 1,half board,2,0,0,0,0,280,Offline,0,0,0,110,10/14/2018,1
INN22993,1,4,Room_Type 1,,2,0,0,0,0,178,,0,0,0,,12/30/2017,0
INN32738,0,2,Room_Type 1,half board,1,0,0,0,0,124,Offline,0,0,0,135,4/19/2018,1
INN01034,1,0,Room_Type 1,half board,2,0,0,0,1,93,Online,0,0,0,125.3,6/26/2018,1
INN27454,1,1,Room_Type 1,half board,2,0,0,0,2,54,Online,0,0,0,146.9,5/21/2018,0
INN27332,0,1,Room_Type 1,,2,0,0,0,0,266,Offline,0,0,0,100,08/12/2018,1
INN32854,0,1,Room_Type 1,half board,2,0,0,0,0,137,Online,0,0,0,148.7,8/27/2018,1
INN34516,1,2,Room_Type 1,full board,2,0,0,0,1,83,Online,0,0,0,94.8,11/25/2018,0
INN17862,0,3,Room_Type 4,half board,3,0,0,0,3,64,Online,0,0,0,173.3,06/09/2018,0
INN02953,2,1,Room_Type 1,breakfast,2,0,0,0,0,5,Offline,0,0,0,114.5,08/08/2017,0
INN11518,0,1,Room_Type 1,full board,2,0,0,0,0,2,Online,0,0,0,130.71,07/07/2018,0
INN22446,2,1,Room_Type 1,half board,2,0,0,0,2,2,Online,0,0,0,161,6/18/2018,0
INN14828,0,4,Room_Type 4,half board,2,0,0,0,2,130,Online,0,0,0,121.58,4/26/2018,0
INN09933,1,2,Room_Type 1,half board,2,0,0,0,0,280,Offline,0,0,0,110,10/14/2018,1
INN13137,1,2,Room_Type 1,,2,0,0,0,0,336,,0,0,0,130,9/19/2018,1
INN14172,2,2,Room_Type 4,half board,2,0,0,0,1,40,Online,0,0,0,160.4,4/29/2018,0
INN24736,0,3,Room_Type 1,,1,1,1,0,0,4,Online,0,0,0,162.33,6/14/2018,0
INN06651,0,4,Room_Type 1,half board,2,0,0,0,1,101,Online,0,0,0,125.4,4/27/2018,0
INN13948,0,3,Room_Type 4,half board,2,0,0,0,0,108,Online,0,0,0,116.3,3/31/2018,0
INN34602,1,0,Room_Type 1,half board,2,1,0,0,1,20,Online,0,0,0,154.8,6/27/2018,0
INN02670,1,2,Room_Type 4,,2,0,0,0,1,17,Offline,0,0,0,118.67,10/30/2017,0
INN01381,0,3,Room_Type 5,half board,2,0,2,0,0,113,Online,0,0,0,158.25,7/13/2018,0
INN31970,1,2,Room_Type 4,,2,0,0,0,0,10,Online,0,0,0,144,03/11/2018,1
INN16356,1,4,Room_Type 1,half board,2,0,0,0,1,138,Online,0,0,0,119.45,05/04/2018,0
INN05401,0,2,Room_Type 1,breakfast,2,0,0,0,0,328,Online,0,0,0,129,7/17/2017,1
INN15468,0,3,Room_Type 1,half board,2,0,0,0,1,69,Online,0,0,0,116.6,12/08/2018,0
INN15936,0,1,Room_Type 1,,1,0,0,0,0,45,Online,0,0,0,136.1,5/13/2018,1
INN23846,0,3,Room_Type 1,half board,1,0,0,0,0,9,Offline,0,0,0,132,05/05/2018,0
INN13710,1,1,Room_Type 1,half board,2,0,0,0,1,39,Offline,0,0,0,125,7/18/2018,0
INN18209,1,2,Room_Type 1,,2,0,1,0,0,98,,0,0,0,,10/21/2018,1
INN00662,0,1,Room_Type 1,half board,2,0,0,0,1,18,Online,0,0,0,159,9/20/2018,0
INN34442,0,2,Room_Type 1,half board,2,0,0,0,0,147,Offline,0,0,0,105,4/15/2018,0
