ID,is_canceled
INN16062,0
INN09467,0
INN28642,1
INN34082,0
INN12402,1
INN21750,0
INN26221,1
INN06125,1
INN22902,0
INN20666,0
INN14595,1
INN11006,0
INN00481,1
INN31132,0
INN17175,0
INN01827,1
INN17494,1
INN00557,1
INN35988,1
INN18271,0
INN30634,1
INN23594,0
INN30519,0
INN16914,1
INN31180,0
INN13864,1
INN24806,1
INN09058,0
INN15991,1
INN17372,1
INN08459,0
INN03212,0
INN27157,0
INN18770,0
INN35920,1
INN00517,0
INN29100,0
INN31563,0
INN34527,1
INN31728,0
INN12859,1
INN10112,1
INN14168,0
INN29506,1
INN24700,0
INN35103,1
INN15513,0
INN15148,1
INN03883,0
INN14011,0
INN33659,0
INN35018,0
INN35440,1
INN17702,0
INN19139,1
INN18861,0
INN28725,1
INN10685,1
INN02440,1
INN09809,0
INN20781,0
INN15256,1
INN30465,0
INN01791,0
INN24252,0
INN11859,1
INN03047,1
INN31483,0
INN25858,0
INN24793,1
INN32523,0
INN08190,1
INN27696,0
INN03533,1
INN33855,1
INN04351,0
INN15049,1
INN05000,0
INN27436,1
INN15017,1
INN34714,1
INN28450,0
INN19416,0
INN20911,1
INN19694,1
INN33386,1
INN18550,0
INN36159,0
INN11552,1
INN28302,0
INN20683,0
INN31099,0
INN05678,1
INN36093,0
INN17761,1
INN20639,1
INN06639,1
INN00738,1
INN24885,0
INN36244,1
INN23272,0
INN09555,0
INN23915,0
INN19656,1
INN20124,0
INN01017,1
INN01467,0
INN30178,1
INN20263,1
INN23159,1
INN28686,1
INN25894,1
INN03100,1
INN05687,0
INN17364,0
INN13140,1
INN34235,1
INN20888,0
INN21711,1
INN27725,0
INN35055,0
INN07700,1
INN34440,0
INN26613,1
INN30157,1
INN08750,0
INN13317,0
INN14485,1
INN14479,1
INN02476,0
INN21783,0
INN19466,0
INN13340,0
INN24267,0
INN00345,1
INN26426,0
INN02919,0
INN22170,0
INN01460,1
INN14005,0
INN29243,0
INN15954,0
INN25436,1
INN31896,1
INN09618,1
INN28267,1
INN25822,1
INN33919,0
INN31324,0
INN33867,0
INN20950,0
INN10321,0
INN33185,0
INN26227,1
INN35296,0
INN09952,1
INN35725,1
INN03116,1
INN08445,0
INN07859,0
INN06020,1
INN26241,0
INN13248,1
INN20458,1
INN15066,1
INN30368,1
INN27869,0
INN11397,0
INN30338,0
INN09731,1
INN25314,0
INN35994,1
INN30140,0
INN15252,0
INN28163,0
INN09479,1
INN01152,0
INN10205,1
INN05510,0
INN29128,0
INN35177,0
INN26570,0
INN19869,0
INN32670,0
INN14361,0
INN25969,1
INN30209,1
INN20002,0
INN06291,0
INN16218,0
INN03429,1
INN10643,1
INN30674,0
INN28856,1
INN34745,0
INN35584,0
INN21631,0
INN12893,1
INN01687,1
INN35522,0
INN09797,1
INN03174,1
INN22362,0
INN21981,1
INN10186,1
INN19232,1
INN09446,0
INN26833,1
INN15429,1
INN29160,1
INN19323,0
INN05567,0
INN07448,0
INN11151,1
INN28032,1
INN35064,0
INN22287,0
INN09564,1
INN09331,0
INN00262,0
INN20278,0
INN02033,1
INN01782,1
INN18933,1
INN30263,1
INN23523,0
INN21043,0
INN06438,0
INN20615,1
INN36241,0
INN24073,0
INN22445,1
INN28581,0
INN14669,0
INN31446,1
INN09136,0
INN31383,1
INN16753,0
INN14499,1
INN26350,1
INN23766,1
INN13445,1
INN20893,1
INN17693,1
INN07274,1
INN33366,0
INN27493,0
INN10696,0
INN17730,0
INN35480,1
INN26866,1
INN34330,1
INN29905,1
INN24924,1
INN07580,0
INN00332,1
INN08260,1
INN14734,0
INN00836,1
INN32975,0
INN30813,0
INN22886,1
INN10060,0
INN17412,0
INN12045,0
INN06964,0
INN24297,0
INN08096,1
INN10816,1
INN21066,1
INN08483,1
INN02406,1
INN34296,0
INN10067,0
INN16104,0
INN33399,0
INN13809,0
INN04997,0
INN32289,0
INN27686,1
INN31392,0
INN22738,1
INN26710,1
INN23741,0
INN03368,1
INN26989,0
INN29078,1
INN30111,1
INN13821,0
INN24280,0
INN35791,1
INN19229,0
INN29964,0
INN23144,0
INN05352,0
INN11077,1
INN13091,0
INN13690,1
INN20521,1
INN30910,0
INN04547,0
INN01458,0
INN16378,1
INN32846,0
INN26901,0
INN20324,1
INN26021,1
INN35171,0
INN25706,0
INN16715,1
INN20453,1
INN21872,0
INN01461,0
INN19191,1
INN03097,1
INN31997,1
INN24521,1
INN15327,0
INN31382,1
INN34311,0
INN25385,1
INN21326,0
INN08019,1
INN29296,1
INN26804,0
INN16262,0
INN07983,1
INN20721,1
INN24469,1
INN35279,1
INN04626,1
INN31237,0
INN23844,1
INN20506,1
INN21312,1
INN08727,1
INN27278,1
INN28215,1
INN08041,0
INN07013,0
INN33245,0
INN04402,1
INN09475,1
INN16056,1
INN11807,0
INN00753,0
INN04614,1
INN08051,0
INN28648,1
INN22434,0
INN23018,1
INN06746,0
INN00358,0
INN26054,1
INN05521,1
INN24774,1
INN29070,1
INN11343,1
INN29353,1
INN16313,1
INN13554,0
INN27381,0
INN21151,0
INN01853,1
INN17097,1
INN04356,1
INN23971,1
INN34905,0
INN31812,0
INN35313,1
INN28944,0
INN17995,1
INN16518,1
INN04179,0
INN09183,1
INN18194,0
INN32527,0
INN28205,1
INN04873,1
INN25107,1
INN33312,1
INN00443,0
INN18061,0
INN32137,1
INN05222,0
INN13519,1
INN04379,1
INN28403,0
INN13521,0
INN22749,1
INN22461,0
INN27408,0
INN36121,1
INN14284,0
INN28873,0
INN27340,0
INN11344,0
INN01762,1
INN22795,1
INN20189,1
INN23900,1
INN13168,0
INN28730,0
INN03007,1
INN21543,0
INN07108,1
INN06253,1
INN23563,0
INN04342,0
INN34833,0
INN35908,1
INN02339,0
INN23748,0
INN16582,1
INN06859,1
INN04910,0
INN13240,0
INN29958,1
INN00295,1
INN33159,1
INN13175,1
INN36153,1
INN17123,0
INN10452,1
INN24609,1
INN11941,1
INN11801,0
INN07280,0
INN06130,0
INN33036,1
INN05668,0
INN06443,0
INN00552,0
INN30996,0
INN29547,1
INN25812,0
INN28418,1
INN12674,0
INN29330,0
INN05250,0
INN12101,0
INN07534,1
INN08396,0
INN20351,0
INN11422,0
INN03502,0
INN35425,0
INN08248,1
INN09692,0
INN21280,1
INN22044,0
INN11251,0
INN05584,1
INN27856,0
INN03743,0
INN19629,1
INN22918,1
INN23535,0
INN34578,1
INN17207,0
INN25482,0
INN29890,1
INN24320,0
INN14995,1
INN16143,1
INN17760,1
INN07193,1
INN09415,1
INN35479,0
INN02493,1
INN00057,0
INN22068,0
INN09774,1
INN23162,1
INN00250,0
INN00275,0
INN24763,1
INN20949,0
INN08962,1
INN01033,1
INN16867,1
INN13702,1
INN28355,0
INN05816,0
INN25907,0
INN19526,0
INN19950,0
INN35981,0
INN24567,0
INN06155,0
INN25937,1
INN05386,1
INN04384,1
INN04328,0
INN18335,1
INN07592,1
INN06166,1
INN02417,0
INN31568,1
INN16372,1
INN36117,0
INN15919,1
INN10332,1
INN20763,1
INN02231,0
INN22423,1
INN07540,0
INN02059,0
INN20698,1
INN34097,0
INN20651,0
INN07582,1
INN14470,1
INN25413,1
INN26829,0
INN13747,0
INN32375,1
INN31119,0
INN06708,0
INN10145,0
INN04180,0
INN34121,1
INN32436,0
INN11283,0
INN18584,1
INN15216,0
INN15013,1
INN01841,0
INN22930,1
INN01091,1
INN14167,1
INN14292,0
INN06885,0
INN23752,1
INN12401,1
INN34304,1
INN21316,1
INN25348,0
INN33568,1
INN27798,1
INN02542,1
INN14515,1
INN26545,0
INN14169,0
INN09841,1
INN22678,1
INN02617,1
INN09734,0
INN13723,0
INN19576,1
INN11272,0
INN10603,0
INN30372,1
INN32501,0
INN01636,1
INN16144,1
INN02367,1
INN00373,1
INN10018,1
INN31110,1
INN06398,0
INN18712,1
INN08196,1
INN19595,1
INN29486,0
INN07866,1
INN12258,0
INN13672,1
INN29454,0
INN33412,1
INN06633,1
INN16870,0
INN23083,1
INN08925,0
INN17731,1
INN16418,1
INN06566,0
INN32855,1
INN26250,1
INN11760,0
INN02268,1
INN31587,0
INN10027,1
INN09125,1
INN30933,0
INN08414,0
INN00697,1
INN12623,1
INN02626,1
INN05485,0
INN31083,1
INN18683,1
INN02145,0
INN30475,0
INN07010,1
INN07893,0
INN14626,0
INN32201,1
INN13761,0
INN11894,1
INN30680,0
INN05226,0
INN36059,0
INN09017,1
INN03450,0
INN32494,0
INN09244,1
INN20555,1
INN01165,0
INN17801,0
INN18120,1
INN27902,1
INN16972,0
INN26466,1
INN20836,1
INN06110,0
INN24305,0
INN28757,0
INN24384,1
INN27314,1
INN13132,1
INN04807,0
INN22507,1
INN12849,1
INN11132,1
INN09649,0
INN19387,1
INN22566,0
INN29096,0
INN34515,0
INN17055,1
INN18869,1
INN07473,1
INN11407,0
INN29513,0
INN19706,1
INN09814,1
INN11930,0
INN27405,0
INN16059,1
INN03778,0
INN02797,1
INN32043,1
INN09976,1
INN29412,0
INN28542,1
INN13722,1
INN06898,0
INN15654,0
INN14658,0
INN16739,0
INN06875,0
INN27499,1
INN16429,1
INN35214,0
INN16698,0
INN12183,0
INN20445,1
INN05834,0
INN20664,0
INN06450,1
INN05482,0
INN24177,0
INN16726,1
INN11456,1
INN13573,0
INN24602,0
INN34592,0
INN29180,0
INN01527,1
INN31546,0
INN05315,1
INN34186,0
INN06843,1
INN12259,0
INN06334,1
INN24360,1
INN06634,1
INN07667,1
INN25705,0
INN12547,0
INN11372,1
INN10563,1
INN11401,0
INN05455,0
INN12959,1
INN34300,1
INN29872,0
INN20483,0
INN34809,0
INN19839,1
INN26200,0
INN33229,0
INN18999,1
INN32610,1
INN08834,1
INN04581,1
INN04075,0
INN15571,0
INN14902,0
INN27870,0
INN23183,1
INN00691,1
INN24473,0
INN23408,0
INN32880,1
INN25041,0
INN29904,1
INN18848,0
INN19927,0
INN02207,0
INN35859,0
INN17014,0
INN19527,0
INN32496,0
INN31549,1
INN30270,0
INN28420,0
INN01682,1
INN35571,0
INN23592,0
INN21900,1
INN23488,1
INN18471,0
INN16294,1
INN08323,0
INN26565,0
INN28459,0
INN27204,0
INN17584,1
INN10875,0
INN13470,1
INN05869,1
INN04948,1
INN33112,1
INN23876,1
INN18044,0
INN13925,1
INN01209,0
INN16523,1
INN31188,1
INN31681,1
INN10818,0
INN06095,1
INN31937,1
INN24035,0
INN07964,0
INN19634,0
INN29951,1
INN00131,0
INN27581,0
INN35898,1
INN22697,0
INN26614,1
INN29995,0
INN18926,0
INN34332,1
INN31323,1
INN04651,1
INN18068,0
INN11887,1
INN26657,0
INN23708,1
INN28180,0
INN06507,0
INN21508,1
INN32264,1
INN27981,0
INN13878,1
INN18235,0
INN17622,0
INN12530,0
INN10385,0
INN13970,0
INN31285,0
INN28479,0
INN24266,0
INN10379,0
INN07038,0
INN06019,0
INN31674,0
INN15877,0
INN07836,1
INN29841,1
INN19867,0
INN15612,1
INN13526,0
INN05062,1
INN07351,0
INN25944,1
INN17186,0
INN25978,0
INN06688,1
INN26879,1
INN22955,0
INN25629,1
INN09464,0
INN17261,0
INN05926,0
INN19733,1
INN03117,1
INN08827,0
INN33830,0
INN30661,1
INN00211,0
INN08400,0
INN31862,0
INN19480,0
INN29029,1
INN00409,1
INN27620,1
INN06273,1
INN13210,1
INN36246,1
INN19085,1
INN14551,0
INN08356,1
INN30384,0
INN28264,1
INN14512,1
INN02144,1
INN07002,0
INN10740,1
INN24652,1
INN32115,0
INN30579,0
INN19787,1
INN25092,0
INN29627,0
INN34661,0
INN18390,1
INN03203,0
INN13229,1
INN19043,1
INN22976,1
INN25150,1
INN09366,1
INN05220,1
INN05505,0
INN10317,0
INN23019,1
INN08525,0
INN03924,0
INN05426,1
INN10932,0
INN25845,1
INN27203,1
INN35752,0
INN33538,0
INN31477,0
INN29132,1
INN26310,1
INN20907,0
INN14823,0
INN28478,1
INN33113,0
INN08884,1
INN10796,0
INN07926,1
INN02484,0
INN11362,1
INN12474,0
INN17403,1
INN20673,0
INN23957,1
INN09513,0
INN13539,0
INN10287,0
INN22622,0
INN31245,1
INN19658,1
INN26473,1
INN10826,1
INN14560,1
INN22053,0
INN25583,1
INN05061,1
INN29870,1
INN07727,0
INN30622,0
INN21363,1
INN16655,1
INN05316,1
INN14026,0
INN17082,0
INN18256,0
INN17132,1
INN18208,1
INN32174,1
INN31036,1
INN25941,1
INN11746,1
INN02547,1
INN04494,0
INN34204,1
INN02861,0
INN05689,0
INN32053,1
INN09616,1
INN23606,0
INN08312,0
INN33604,1
INN18375,0
INN28063,0
INN06359,1
INN14849,1
INN06899,0
INN18516,1
INN26240,0
INN23920,1
INN08809,0
INN20190,1
INN27073,0
INN28008,1
INN22214,1
INN10908,1
INN21765,0
INN15197,1
INN31754,0
INN26925,1
INN13954,0
INN19157,0
INN26148,0
INN30439,1
INN09016,0
INN07766,0
INN12484,0
INN35701,1
INN21386,1
INN04499,0
INN06559,0
INN20540,0
INN11706,0
INN00433,0
INN31287,1
INN00272,1
INN18750,0
INN27708,0
INN12383,1
INN08698,1
INN13191,0
INN20928,0
INN33174,1
INN22785,0
INN24357,0
INN29931,0
INN08781,0
INN36242,1
INN27692,0
INN25691,0
INN14981,0
INN23714,0
INN05972,0
INN11221,1
INN28414,0
INN27118,0
INN31628,1
INN09930,0
INN17328,0
INN10275,0
INN15676,0
INN33160,0
INN34766,0
INN00267,0
INN10331,0
INN20107,1
INN35573,0
INN27106,0
INN03811,0
INN05600,1
INN05011,1
INN27121,1
INN31555,0
INN17389,0
INN24524,0
INN25029,1
INN08999,1
INN05010,1
INN01471,1
INN08711,0
INN05038,0
INN09882,0
INN28481,0
INN15358,0
INN25061,0
INN11264,0
INN20900,1
INN06181,0
INN35102,1
INN22001,1
INN15911,0
INN21281,0
INN14442,1
INN33644,1
INN29173,0
INN33347,1
INN09728,1
INN25201,0
INN21559,0
INN01539,1
INN27184,0
INN11069,0
INN27929,0
INN09485,0
INN17513,0
INN18830,1
INN31699,0
INN04648,1
INN02445,0
INN18255,1
INN33594,0
INN33686,0
INN35486,0
INN05397,0
INN32887,0
INN01512,0
INN29510,1
INN14048,0
INN28538,0
INN16673,0
INN21293,1
INN14808,0
INN34683,1
INN16876,0
INN09005,0
INN35700,0
INN04639,1
INN12927,0
INN30609,0
INN22382,1
INN08675,0
INN22099,0
INN24518,0
INN32189,1
INN03090,0
INN30740,0
INN34393,0
INN30257,1
INN16974,1
INN01463,1
INN17213,0
INN06834,0
INN21636,1
INN32209,1
INN27045,0
INN19352,1
INN32307,0
INN02976,0
INN24091,1
INN36009,1
INN27345,0
INN36224,1
INN07123,0
INN08694,0
INN29051,0
INN28765,0
INN17953,1
INN17724,0
INN07144,0
INN30584,0
INN00951,1
INN00985,0
INN35582,0
INN10606,0
INN00103,0
INN13055,0
INN00559,0
INN36166,0
INN33197,0
INN32782,0
INN05667,1
INN07882,0
INN04959,0
INN32466,1
INN12185,0
INN23863,1
INN08434,0
INN35678,1
INN15666,0
INN02536,0
INN06645,0
INN07041,0
INN14749,0
INN13484,0
INN32988,0
INN23609,1
INN10015,0
INN36253,0
INN18496,1
INN19484,1
INN00268,0
INN28492,0
INN13824,0
INN18223,0
INN01573,1
INN11165,1
INN02021,0
INN17612,0
INN06368,0
INN35875,1
INN13834,1
INN12411,1
INN28196,0
INN18698,1
INN07272,1
INN14073,0
INN27202,0
INN06056,1
INN27172,1
INN10993,0
INN03837,0
INN36105,1
INN25750,0
INN31600,0
INN05191,0
INN07599,1
INN15101,1
INN16390,0
INN08375,1
INN23458,0
INN02491,1
INN10583,1
INN22056,1
INN28079,0
INN33371,0
INN10520,1
INN26889,0
INN20527,1
INN16243,0
INN29521,0
INN09048,0
INN08505,0
INN12850,0
INN31731,1
INN07037,0
INN06918,1
INN12900,0
INN31655,0
INN26970,0
INN32009,1
INN28712,1
INN33669,0
INN03105,0
INN35527,1
INN23433,0
INN35444,1
INN22480,0
INN01326,0
INN08172,1
INN12852,0
INN10788,0
INN30837,0
INN20050,1
INN35734,0
INN27889,1
INN24703,0
INN11387,0
INN00189,1
INN04408,0
INN11296,1
INN10673,0
INN34358,0
INN29166,0
INN34247,1
INN29630,0
INN19888,1
INN19259,0
INN17248,1
INN24526,1
INN29670,1
INN09427,0
INN06923,1
INN35393,0
INN23406,1
INN34288,1
INN12197,1
INN03485,0
INN06818,0
INN03034,1
INN01692,1
INN15100,0
INN00747,0
INN25130,0
INN20636,1
INN11391,1
INN08819,1
INN22637,0
INN04883,1
INN10524,0
INN17000,1
INN12822,0
INN11749,0
INN09435,1
INN34045,0
INN26364,0
INN09991,1
INN36165,0
INN18792,0
INN21037,1
INN19317,1
INN01849,0
INN26846,0
INN14691,1
INN35014,1
INN13212,1
INN26788,1
INN00531,0
INN16763,1
INN35982,0
INN08182,0
INN07195,1
INN18917,1
INN26354,1
INN05337,0
INN33634,0
INN04850,1
INN02893,0
INN06862,1
INN10819,1
INN06375,0
INN06669,0
INN09733,0
INN26282,0
INN28497,0
INN07515,0
INN26283,0
INN35006,1
INN27535,1
INN30642,1
INN30647,1
INN28406,0
INN25713,1
INN36227,1
INN33943,1
INN08776,0
INN18081,0
INN32456,1
INN29425,1
INN29690,0
INN34615,0
INN33997,0
INN14623,1
INN23087,0
INN31850,1
INN13623,0
INN18269,0
INN02227,1
INN34273,0
INN09179,0
INN28703,0
INN32128,0
INN28531,0
INN21933,1
INN06924,0
INN30050,0
INN24220,1
INN06644,1
INN14422,1
INN10929,1
INN27583,1
INN15300,1
INN35940,1
INN17811,1
INN26909,1
INN01019,0
INN25811,1
INN31232,0
INN17620,0
INN10025,0
INN14768,1
INN07733,1
INN30942,0
INN23428,1
INN01043,1
INN11140,0
INN35788,1
INN01023,1
INN35836,1
INN18809,1
INN00762,1
INN25763,0
INN31539,1
INN35037,1
INN07628,1
INN33549,1
INN13304,1
INN29542,0
INN07186,0
INN11908,0
INN26133,0
INN20890,1
INN32972,0
INN33569,1
INN03972,1
INN01341,1
INN09265,1
INN10633,0
INN29150,0
INN00190,1
INN20315,1
INN34958,0
INN11860,1
INN25622,0
INN30899,0
INN18358,1
INN16230,1
INN32929,0
INN17540,1
INN18085,0
INN09253,1
INN12897,1
INN28659,0
INN19794,1
INN16028,1
INN18092,1
INN09653,1
INN25492,1
INN12143,0
INN35679,1
INN17675,1
INN08084,1
INN23506,0
INN30551,1
INN23426,1
INN28930,1
INN11594,0
INN15054,1
INN16559,0
INN29432,1
INN07312,1
INN03957,0
INN04879,0
INN14641,0
INN10029,0
INN29462,0
INN14121,1
INN04941,1
INN15985,0
INN22006,0
INN06145,0
INN13671,1
INN01300,1
INN04003,1
INN10422,1
INN26635,1
INN06217,0
INN28574,1
INN18828,0
INN29758,1
INN33455,1
INN35240,1
INN08688,1
INN28645,1
INN05580,1
INN34713,1
INN19613,1
INN05577,1
INN06367,1
INN06826,1
INN06364,1
INN10423,0
INN36084,0
INN16076,1
INN31459,1
INN34529,1
INN17834,0
INN29214,1
INN07650,0
INN12542,1
INN03002,1
INN05514,0
INN26349,1
INN02888,1
INN31500,1
INN12884,0
INN27884,0
INN25904,0
INN10329,1
INN31305,1
INN02668,0
INN06268,0
INN27280,1
INN11035,0
INN14530,1
INN24754,1
INN29116,0
INN20408,1
INN18539,1
INN03256,1
INN32688,0
INN08098,1
INN15472,1
INN19185,0
INN34801,0
INN21611,1
INN29301,0
INN26620,1
INN06932,1
INN30723,1
INN25882,1
INN13382,0
INN10969,1
INN36236,0
INN01115,0
INN04088,1
INN08643,1
INN00244,0
INN18946,0
INN15926,1
INN35265,1
INN34883,1
INN27414,1
INN17558,0
INN03616,0
INN06070,0
INN27295,1
INN26020,1
INN22419,1
INN07420,0
INN04353,0
INN00622,1
INN18034,0
INN31848,1
INN22926,1
INN03660,1
INN33891,0
INN00950,1
INN25101,1
INN00882,1
INN17746,1
INN24190,0
INN05053,1
INN13564,1
INN07228,1
INN19506,1
INN06072,1
INN02746,0
INN21657,0
INN24565,1
INN11317,0
INN27027,1
INN22812,1
INN30913,0
INN07263,0
INN00995,1
INN26139,0
INN01470,0
INN31730,0
INN02230,0
INN21472,1
INN16283,1
INN03344,0
INN17805,1
INN04163,1
INN17025,1
INN33343,1
INN15677,0
INN02867,1
INN02412,0
INN28381,1
INN02538,1
INN28558,0
INN16591,0
INN09884,1
INN28727,1
INN07149,1
INN22037,0
INN16411,1
INN08272,0
INN21367,1
INN27779,1
INN07260,1
INN28375,0
INN18346,1
INN13025,1
INN05217,1
INN10277,0
INN28228,1
INN16074,1
INN02020,0
INN00118,0
INN05465,0
INN15724,1
INN29200,1
INN16017,0
INN10026,1
INN12373,1
INN00964,1
INN18838,1
INN07079,0
INN25066,1
INN08331,1
INN36050,0
INN27053,0
INN23693,1
INN21713,0
INN17253,0
INN11450,1
INN01274,1
INN26642,1
INN24529,1
INN30769,0
INN13489,0
INN00438,1
INN19621,0
INN00395,1
INN18137,0
INN02731,0
INN08395,0
INN14589,1
INN07744,1
INN04834,0
INN34927,0
INN23141,1
INN32278,0
INN01856,0
INN28345,1
INN10454,0
INN10351,0
INN00963,0
INN01582,0
INN00305,1
INN01663,0
INN01559,1
INN31391,1
INN19092,1
INN31317,1
INN16816,1
INN33558,1
INN00905,0
INN07603,1
INN19503,1
INN33069,0
INN09135,1
INN02023,0
INN15225,0
INN34520,0
INN27991,1
INN10882,1
INN11368,1
INN30367,1
INN08214,0
INN12567,0
INN23374,0
INN17467,0
INN32269,0
INN30643,0
INN33605,0
INN20869,1
INN07197,1
INN06041,1
INN34537,1
INN24590,1
INN24556,1
INN30964,0
INN01792,0
INN24725,1
INN08097,0
INN27048,0
INN25160,1
INN35359,0
INN22224,1
INN06868,0
INN10037,1
INN27173,1
INN25264,0
INN10311,1
INN03676,1
INN15852,1
INN17362,0
INN35349,0
INN21140,0
INN06063,0
INN24458,1
INN03470,1
INN35509,1
INN31091,0
INN32923,0
INN17485,1
INN30556,0
INN16250,1
INN01972,1
INN31519,0
INN15745,0
INN32589,0
INN29672,1
INN12184,0
INN04128,1
INN02957,1
INN19074,0
INN23747,1
INN12653,0
INN32706,1
INN19390,0
INN29545,0
INN11645,1
INN29282,1
INN25223,0
INN23201,0
INN06901,1
INN28705,1
INN32620,1
INN10534,0
INN18069,1
INN22283,0
INN19463,1
INN22502,0
INN05817,1
INN06536,1
INN05623,0
INN04203,1
INN24307,0
INN12025,1
INN00020,0
INN29370,0
INN18739,1
INN05871,1
INN31136,1
INN04770,0
INN11007,1
INN00432,0
INN02439,1
INN16197,1
INN30060,0
INN09124,0
INN16282,0
INN34034,1
INN05701,0
INN21506,1
INN22340,0
INN29394,0
INN05734,0
INN26085,1
INN27368,1
INN06492,1
INN32643,1
INN00266,1
INN30798,0
INN06196,1
INN34046,0
INN12945,0
INN16549,1
INN12540,0
INN15727,1
INN26815,1
INN20612,1
INN33346,1
INN07929,0
INN30038,0
INN32940,0
INN19172,0
INN29705,0
INN03014,0
INN02480,0
INN11477,1
INN10703,0
INN09392,0
INN26725,0
INN20882,1
INN36279,1
INN00405,1
INN07297,0
INN16734,0
INN19247,0
INN27208,0
INN15844,0
INN29375,1
INN30337,0
INN10199,1
INN28392,0
INN28499,1
INN34648,1
INN36234,0
INN26988,0
INN12412,1
INN27639,1
INN15113,0
INN06650,1
INN09399,0
INN09002,1
INN00097,1
INN09885,1
INN25071,0
INN18717,0
INN30449,1
INN32354,0
INN06706,1
INN34306,0
INN32489,1
INN08992,1
INN12691,0
INN12377,0
INN36186,0
INN18493,0
INN26024,0
INN33015,1
INN17413,0
INN00522,1
INN02894,0
INN12334,1
INN34861,1
INN36168,0
INN32200,0
INN24493,0
INN29152,1
INN31361,0
INN31120,1
INN08048,0
INN16511,0
INN25278,1
INN28601,0
INN25742,0
INN17951,0
INN02598,0
INN10869,0
INN03302,0
INN29726,1
INN11667,1
INN20044,1
INN19824,0
INN30688,1
INN19707,0
INN05502,1
INN14359,1
INN14787,1
INN03272,1
INN17441,0
INN02421,0
INN21020,0
INN23446,1
INN35284,0
INN20424,0
INN33580,0
INN01157,0
INN08529,1
INN01880,1
INN12165,1
INN03538,1
INN25809,1
INN13031,1
INN13988,0
INN20562,0
INN35924,1
INN13231,1
INN13431,0
INN20669,1
INN25996,1
INN13034,0
INN08881,1
INN12420,0
INN28449,1
INN11174,0
INN26421,1
INN13547,0
INN10370,0
INN24820,1
INN06475,1
INN25935,1
INN17763,0
INN27339,1
INN34166,0
INN03032,0
INN24131,1
INN02435,0
INN03799,0
INN10941,1
INN08220,0
INN06444,1
INN12781,0
INN30511,1
INN08176,1
INN21501,0
INN30693,1
INN12299,1
INN20160,1
INN12242,0
INN21770,1
INN20379,0
INN10623,1
INN29071,1
INN01111,0
INN35986,0
INN31611,0
INN10450,0
INN07774,0
INN20444,1
INN17787,0
INN00225,1
INN26794,0
INN28904,1
INN12452,0
INN35770,0
INN06581,1
INN22465,1
INN15202,0
INN16336,1
INN33554,0
INN10157,0
INN26314,0
INN10313,1
INN34923,1
INN15694,1
INN03567,0
INN33058,0
INN26708,0
INN34328,1
INN06221,1
INN27548,1
INN03419,1
INN30562,1
INN34254,1
INN17059,0
INN22113,0
INN23799,0
INN28045,0
INN00326,1
INN32493,0
INN18124,0
INN33782,1
INN28309,1
INN23160,1
INN06417,1
INN31173,0
INN07338,0
INN24026,1
INN15452,0
INN00777,0
INN19170,1
INN01117,1
INN10936,1
INN11507,1
INN12466,1
INN08567,0
INN09395,1
INN35065,1
INN33156,1
INN19803,1
INN24873,0
INN06790,0
INN26616,1
INN20759,0
INN28854,1
INN35333,1
INN06999,1
INN29043,0
INN19689,1
INN15875,1
INN27691,0
INN15283,0
INN20761,1
INN15821,1
INN18699,0
INN24731,1
INN36114,1
INN07651,0
INN34967,0
INN08300,0
INN10980,0
INN13921,0
INN23649,0
INN35809,1
INN30635,0
INN23482,1
INN00654,0
INN14271,1
INN35312,0
INN00765,1
INN20004,1
INN19395,0
INN26867,0
INN27126,0
INN17134,0
INN36180,0
INN00736,1
INN18842,0
INN24128,0
INN12290,0
INN08101,0
INN18140,1
INN16542,0
INN05929,0
INN26151,0
INN14933,1
INN06943,0
INN13766,0
INN31931,0
INN12663,0
INN24146,0
INN10753,0
INN03029,1
INN00850,1
INN09507,0
INN18920,1
INN32006,0
INN10591,1
INN15908,1
INN13826,1
INN07183,0
INN35082,1
INN16172,1
INN23484,1
INN24537,1
INN06556,0
INN18490,1
INN21687,0
INN19271,0
INN18026,0
INN34878,1
INN04132,0
INN32387,0
INN13610,1
INN02949,1
INN07294,0
